,language,language_repo_bytes,repo_name,repo_url,repo_owner_name,repo_owner_url,repo_last_updated_date,repo_description
1,HTML,702512,git_update,https://github.com/akhagan/git_update,akhagan,https://github.com/akhagan,2019-07-01 13:18:47,Updating SWC git lessons with the puzzle analogy
2,Python,43983,git_update,https://github.com/akhagan/git_update,akhagan,https://github.com/akhagan,2019-07-01 13:18:47,Updating SWC git lessons with the puzzle analogy
3,CSS,9194,git_update,https://github.com/akhagan/git_update,akhagan,https://github.com/akhagan,2019-07-01 13:18:47,Updating SWC git lessons with the puzzle analogy
4,R,4110,git_update,https://github.com/akhagan/git_update,akhagan,https://github.com/akhagan,2019-07-01 13:18:47,Updating SWC git lessons with the puzzle analogy
5,Makefile,3509,git_update,https://github.com/akhagan/git_update,akhagan,https://github.com/akhagan,2019-07-01 13:18:47,Updating SWC git lessons with the puzzle analogy
6,JavaScript,1050,git_update,https://github.com/akhagan/git_update,akhagan,https://github.com/akhagan,2019-07-01 13:18:47,Updating SWC git lessons with the puzzle analogy
7,Ruby,237,git_update,https://github.com/akhagan/git_update,akhagan,https://github.com/akhagan,2019-07-01 13:18:47,Updating SWC git lessons with the puzzle analogy
8,Shell,220,git_update,https://github.com/akhagan/git_update,akhagan,https://github.com/akhagan,2019-07-01 13:18:47,Updating SWC git lessons with the puzzle analogy
9,Jupyter Notebook,4368,PyCon_2019,https://github.com/GabrielleRab/PyCon_2019,GabrielleRab,https://github.com/GabrielleRab,2019-05-29 16:49:11,Repository for PyCon 2019 Education Summit Mini-Sprint: Workbooks that teach Python through scientific data exploration
10,Jupyter Notebook,14290,CapstoneProject,https://github.com/GWC-DCMB/CapstoneProject,GWC-DCMB,https://github.com/GWC-DCMB,2019-11-12 16:37:22,Capstone Project datasets & instructions.
11,HTML,118279,CapstoneProject,https://github.com/GWC-DCMB/CapstoneProject,GWC-DCMB,https://github.com/GWC-DCMB,2019-11-12 16:37:22,Capstone Project datasets & instructions.
